Covenants,Unit,Benchmark,Result,Category
Current Ratio,Ratio,88,6.84,Liquidity
Quick Ratio (Acid Test),Ratio,1,6.76,Liquidity
Debt Ratio,Ratio,40,37.61,Solvency (Leverage)
Equity Ratio,Ratio,60,62.39,Solvency (Leverage)
Quasi Equity Ratio,Ratio,15,94.12,Solvency (Leverage)
Capitalisation Ratio,Ratio,123,160.29,Solvency (Leverage)
Gross Profit Margin,Ratio,40,80.19,Profitability
Net Profit Margin,bool,TRUE,FALSE,Profitability
Return on Total Assets,bool,TRUE,FALSE,Profitability
Interest Cover,times,3,0,Solvency (Leverage)
Receivables Turnover,times,2,7,Efficiency & Working-Capital 
Inventory Turnover,times,2,0,Efficiency & Working-Capital 
Creditors Turnover,times,2,41.48,Efficiency & Working-Capital 
Average Collection Period,days,30,51.82,Efficiency & Working-Capital 
Average Payment Period,days,45,8.75,Efficiency & Working-Capital 
Inventory Turnover,days,50,1.93,Efficiency & Working-Capital 
Operating Cycle,days,30,45.01,Efficiency & Working-Capital 
Dividend Ratio,bool,TRUE,FALSE,Dividend Payout
