Key Ratios,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Current Ratio,ratio,1.06,1.37,6.84
Quick Ratio (Acid Test),ratio,0.90,1.04,6.76
Debt Ratio,percentage,50,42,38
Equity Ratio,percentage,50,58,62
Quasi Equity Ratio,percentage,65,71,94
Gross Profit Margin,percentage,78,79,80
Net Profit/Loss (-) Margin,percentage,39,36,-23
Return on Total Assets,percentage,26,19,-18
Average Receivables Period,days,57,54,52
Average Creditors Period,days,12,18,9
Inventory Turnover,days,3,3,2
Operating Cycle,days,47,38,45
Interest Cover,ratio,0,0,0
