Financial Statements,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Current Assets,AUD,"2,127,455.00","2,825,030.00","2,115,400.00"
Non Current Assets,AUD,"3,698,863.00","4,317,107.00","3,145,069.00"
Total Assets,AUD,"5,826,319.00","7,142,137.00","5,260,469.00"
Current Liabilities,AUD,"2,010,261.00","2,068,669.00","309,402.00"
Non Current Liabilities,AUD,"885,465.00","949,955.00","1,669,280.00"
Total Liabilities,AUD,"2,895,726.00","3,018,624.00","1,978,681.00"
Equity,AUD,"2,930,593.00","4,123,513.00","3,281,788.00"
Net Revenue,AUD,"3,902,019.00","3,841,539.00","4,186,538.00"
Cost of Goods Sold,AUD,"859,946.00","785,290.00","806,576.00"
Gross Profit,AUD,"3,042,073.00","3,056,249.00","3,379,962.00"
Other Income,AUD,"258,135.00","269,827.00","545,685.00"
Depreciation,AUD,"46,767.00","87,958.00","309,832.00"
Other Expenses,AUD,"1,716,068.00","1,861,201.00","4,577,324.00"
Profit/Loss for the period,AUD,"1,522,003.00","1,376,917.00","-961,510.00"
EBITDA,AUD,"1,568,770.00","1,464,875.00","-651,677.00"
