Ratio Definition,units,30-Jun-23,30-Jun-24,30-Jun-25
Current Ratio,ratio,1.06,1.37,6.84
Quick Ratio (Acid Test),ratio,0.9,1.04,6.76
Debt Ratio,percentage,0.5,0.42,0.38
Equity Ratio,percentage,0.5,0.58,0.62
Quasi Equity Ratio,percentage,0.65,0.71,0.94
Capitalisation Ratio,percentage,1.99,1.73,1.6
Gross Profit Margin,percentage,0.78,0.79,0.8
Net Profit/Loss (-) Margin,percentage,0.39,0.36,-0.23
Return on Total Assets,percentage,0.26,0.19,-0.18
Interest Cover,times,0,0,0
Receivables Turnover,times,6.43,6.75,7
Inventory Turnover,times,0,0,0
Creditors Turnover,times,30,19.69,41.48
Average Receivables Period,days,57,54,52
Average Creditors Period,days,12,18,9
Inventory Turnover,days,3,3,2
Operating Cycle,days,47,38,45
Dividend Ratio,percentage,-0.23,-0.18,0
Other Operating Expenses/Revenue,percentage,0.1,0.09,0.74
Wages and Salaries/Revenue,percentage,0.3,0.35,0.32
Other Income/Total Income,percentage,0.06,0.07,0.11
Total Income/Total Expenses,percentage,1.87,1.71,0.8
Total Expenses/Total Income,percentage,0.53,0.59,1.24
Berry Ratio (Australian Taxation Office),percentage,1.73,1.57,0.69
EBITDA Margin,percentage,0.48,0.44,-0.17
Return on Equity,percentage,1.72,1.45,-0.58
Asset Turnover Ratio,percentage,0.67,0.54,0.8
Implied Interest Rate,percentage,0,0,0
Net Profit/Loss (-) Margin,percentage,0.37,0.33,-0.2
Administrative Expense/Revenue,percentage,0.02,0.04,0.01
Amortisation/Revenue,percentage,0,0,0
Bad and Doubtful Debt/Revenue,percentage,0,0,0
Depreciation and Amortisation/Net Revenue,percentage,0.01,0.02,0.07
Distribution/Revenue,percentage,0,0,0
Finance/Revenue,percentage,0,0,0
Interest/Revenue,percentage,0,0,0
Marketing/Revenue,percentage,0,0,0
Occupancy/Revenue,percentage,0.01,0.01,0.01
Debt Service Cover,ratio,0,0,0
Total Expenses/Revenue,ratio,0.45,0.51,1.16
Total Other Income/Revenue,ratio,0.07,0.07,0.13
Total Other Income/Net Profit/Loss Before Tax,ratio,0.17,0.2,-0.57
Total Other Non Operating Expenses/Revenue,ratio,0,0,0
Cost of Sales/Revenue,percentage,0.22,0.21,0.2
Labour/Revenue,percentage,0.3,0.35,0.32
EBITDA/Net Revenue,ratio,0.4,0.38,-0.16
Operating Profit Before Tax/Total Income,ratio,0.47,0.41,-0.24
