Financial Statements,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Current Assets,AUD,"60,892.00","434,279.00","42,024.00"
Non Current Assets,AUD,"4,093,050.00","3,340,116.00","3,744,395.00"
Total Assets,AUD,"4,153,942.00","3,850,774.00","3,786,419.00"
Current Liabilities,AUD,"91,897.00","420,914.00","150,116.00"
Non Current Liabilities,AUD,"2,999,772.00","2,837,436.00","2,572,974.00"
Total Liabilities,AUD,"3,091,669.00","3,258,350.00","2,723,090.00"
Equity,AUD,"1,062,273.00","592,424.00","1,063,329.00"
Net Revenue,AUD,"20,779.00","2,379,063.00",0.00
Cost of Goods Sold,AUD,0.00,"1,463,423.00",0.00
Gross Profit,AUD,"20,779.00","915,640.00",0.00
Other Income,AUD,"1,393,008.00","75,127.00","3,266,752.00"
Depreciation,AUD,0.00,"106,130.00",0.00
Interest,AUD,"4,208.00","43,804.00","63,397.00"
Other Expenses,AUD,"168,079.00","1,046,515.00","1,395,986.00"
Profit/Loss for the period,AUD,"1,241,500.00","-205,683.00","1,807,369.00"
EBITDA,AUD,"1,245,708.00","-55,749.00","1,870,766.00"
