Ratio Definition,units,30-Jun-23,30-Jun-24,30-Jun-25
Current Ratio,ratio,0.66,1.03,0.28
Quick Ratio (Acid Test),ratio,0.64,0.01,0.12
Debt Ratio,percentage,0.74,0.85,0.72
Equity Ratio,percentage,0.26,0.15,0.28
Quasi Equity Ratio,percentage,0.57,0.49,0.62
Capitalisation Ratio,percentage,3.91,6.5,3.56
Gross Profit Margin,percentage,1,0.38,0
Net Profit/Loss (-) Margin,percentage,59.75,-0.09,0
Return on Total Assets,percentage,0.3,-0.04,0.49
Interest Cover,times,296.03,-3.7,29.51
Receivables Turnover,times,0,0,0
Inventory Turnover,times,0,0,0
Creditors Turnover,times,0.32,10.39,0
Average Receivables Period,days,0,0,0
Average Creditors Period,days,1,35,0
Inventory Turnover,days,0,33,0
Operating Cycle,days,-1,-2,0
Dividend Ratio,percentage,0,0,0
Other Operating Expenses/Revenue,percentage,4.85,0.18,0
Wages and Salaries/Revenue,percentage,1.13,0.15,0
Other Income/Total Income,percentage,0.99,0.03,1
Total Income/Total Expenses,percentage,8.21,0.83,2.24
Total Expenses/Total Income,percentage,0.12,1.21,0.45
Berry Ratio (Australian Taxation Office),percentage,0.12,0.77,0
EBITDA Margin,percentage,0.88,-0.06,0.57
Return on Equity,percentage,0.96,-0.16,1.39
Asset Turnover Ratio,percentage,0.01,0.62,0
Implied Interest Rate,percentage,0,0.01,0.02
Net Profit/Loss (-) Margin,percentage,0.88,-0.08,0.55
Administrative Expense/Revenue,percentage,0.71,0.02,0
Amortisation/Revenue,percentage,0,0,0
Bad and Doubtful Debt/Revenue,percentage,0,0,0
Depreciation and Amortisation/Net Revenue,percentage,0,0.04,0
Distribution/Revenue,percentage,0,0,0
Finance/Revenue,percentage,0,0,0
Interest/Revenue,percentage,0.2,0.02,0
Marketing/Revenue,percentage,0.06,0,0
Occupancy/Revenue,percentage,1.33,0.09,0
Debt Service Cover,ratio,296.03,-1.27,29.51
Total Expenses/Revenue,ratio,8.29,0.5,0
Total Other Income/Revenue,ratio,67.04,0.03,0
Total Other Income/Net Profit/Loss Before Tax,ratio,1.12,-0.37,1.81
Total Other Non Operating Expenses/Revenue,ratio,0,0,0
Cost of Sales/Revenue,percentage,0,0.62,0
Labour/Revenue,percentage,1.13,0.15,0
EBITDA/Net Revenue,ratio,59.95,-0.02,0
Operating Profit Before Tax/Total Income,ratio,0.88,-0.21,0.55
