Key Ratios,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Current Ratio,ratio,3.28,3.12,1.93
Quick Ratio (Acid Test),ratio,1.87,1.39,0.96
Debt Ratio,percentage,39,50,48
Equity Ratio,percentage,61,50,52
Quasi Equity Ratio,percentage,61,61,64
Gross Profit Margin,percentage,22,19,22
Net Profit/Loss (-) Margin,percentage,5,2,4
Return on Total Assets,percentage,16,7,8
Average Receivables Period,days,48,32,42
Average Creditors Period,days,10,16,29
Inventory Turnover,days,37,45,41
Operating Cycle,days,75,60,54
Interest Cover,ratio,47.02,4192.66,17.2
