Financial Statements,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Current Assets,AUD,"3,729,525.00","3,019,410.00","3,704,382.00"
Non Current Assets,AUD,"1,522,677.00","1,994,932.00","4,463,481.00"
Total Assets,AUD,"5,252,202.00","5,014,341.00","8,167,863.00"
Current Liabilities,AUD,"1,137,720.00","966,396.00","1,917,820.00"
Non Current Liabilities,AUD,"930,315.00","1,528,151.00","1,963,688.00"
Total Liabilities,AUD,"2,068,035.00","2,494,547.00","3,881,508.00"
Equity,AUD,"3,184,167.00","2,519,795.00","4,286,355.00"
Net Revenue,AUD,"15,766,553.00","13,736,093.00","15,699,648.00"
Cost of Goods Sold,AUD,"12,326,088.00","11,123,405.00","12,222,437.00"
Gross Profit,AUD,"3,440,466.00","2,612,688.00","3,477,211.00"
Other Income,AUD,"232,860.00","319,437.00","371,514.00"
Depreciation,AUD,"133,758.00","172,402.00","283,548.00"
Interest,AUD,"17,661.00",78.00,"38,939.00"
Other Expenses,AUD,"2,709,194.00","2,432,864.00","2,895,266.00"
Profit/Loss for the period,AUD,"812,712.00","326,782.00","630,973.00"
EBITDA,AUD,"964,131.00","499,261.00","953,459.00"
