Key Ratios,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Current Ratio,ratio,2.38,4.81,4.03
Quick Ratio (Acid Test),ratio,2.33,4.78,3.98
Debt Ratio,percentage,117,106,36
Equity Ratio,percentage,-17,-6,64
Quasi Equity Ratio,percentage,59,70,64
Gross Profit Margin,percentage,92,95,92
Net Profit/Loss (-) Margin,percentage,30,49,37
Return on Total Assets,percentage,121,114,72
Average Receivables Period,days,17,2,16
Average Creditors Period,days,9,6,11
Inventory Turnover,days,0,0,0
Operating Cycle,days,8,-4,5
Interest Cover,ratio,20.41,58.15,147.67
