Financial Statements,Unit,30-Jun-23,30-Jun-24,30-Jun-25
Current Assets,AUD,"572,973.00","1,516,511.00","1,134,824.00"
Non Current Assets,AUD,"8,911.00","20,076.00","66,470.00"
Total Assets,AUD,"581,884.00","1,536,587.00","1,302,113.00"
Current Liabilities,AUD,"240,486.00","315,407.00","281,655.00"
Non Current Liabilities,AUD,"439,951.00","1,316,990.00","189,679.00"
Total Liabilities,AUD,"680,437.00","1,632,397.00","471,334.00"
Equity,AUD,"-98,553.00","-95,810.00","830,779.00"
Net Revenue,AUD,"2,259,265.00","3,528,074.00","2,536,416.00"
Cost of Goods Sold,AUD,"173,377.00","188,220.00","195,698.00"
Gross Profit,AUD,"2,085,889.00","3,339,854.00","2,340,718.00"
Other Income,AUD,"100,177.00","50,420.00","107,828.00"
Depreciation,AUD,"5,746.00","7,055.00","7,629.00"
Interest,AUD,"34,411.00","30,199.00","6,318.00"
Other Expenses,AUD,"1,477,946.00","1,627,102.00","1,507,039.00"
Profit/Loss for the period,AUD,"667,962.00","1,725,861.00","926,589.00"
EBITDA,AUD,"708,119.00","1,763,172.00","941,508.00"
